Sectors,Sub Sectors and Economic Activity,Year,Expenditure
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2006-07,26.64
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2006-07,36.85
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2006-07,4984.79
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2006-07,829771.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2006-07,0.6
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2006-07,102.71
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2006-07,83.5
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2006-07,23.98
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2006-07,9.34
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2006-07,22.27
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2006-07,54.96
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2006-07,710.31
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2006-07,27.63
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",12. Manufacture of other Non-Metallic Mineral Products,2006-07,41.57
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",13. Manufacture of Basic Metals,2006-07,52.28
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",14. Manufacture of Fabricated Metal Products,2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","15. Manufacture of Medical, Precision and Optical Instruments",2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",16. Manufacture of Electrical Machinery and Apparatus,2006-07,0.53
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",17. Manufacture of Machinery and Equipment,2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","18. Electricity, Gas, Steam and Water Supply",2006-07,1813.99
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","19. Land Transport, Transport via Pipelines",2006-07,80.81
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Total R&D Expenditure (Rs Crore) (B),2006-07,3023.89
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",GDP by industry of origin (at factor cost Rs. Crores),2006-07,1033410.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Ratio of R&D expenditure to GDP by industry of origin (%),2006-07,0.29
(C) Transport & Communication,1. Manufacture of Motor Vehicles,2006-07,54.34
(C) Transport & Communication,2. Manufacture of other Transport Equipment,2006-07,0.0
(C) Transport & Communication,3. Telecommunications,2006-07,180.71
(C) Transport & Communication,4. Computer and Related Activities,2006-07,252.16
(C) Transport & Communication,Total R&D Expenditure(Rs in Crore) ( C ),2006-07,487.2
(C) Transport & Communication,GDP by industry of origin (at factor cost Rs. Crores),2006-07,998379.0
(C) Transport & Communication,Ratio of R&D expenditure to GDP by industry of origin (%),2006-07,0.05
(D) Public Administration & Defence and other Services,1. Public Administration and Defence,2006-07,5380.49
(D) Public Administration & Defence and other Services,2. Education,2006-07,493.76
(D) Public Administration & Defence and other Services,3. Health and Social Work,2006-07,747.01
(D) Public Administration & Defence and other Services,4. Service Sector,2006-07,5329.3
(D) Public Administration & Defence and other Services,5. Others Please Specify,2006-07,397.76
(D) Public Administration & Defence and other Services,Total R&D Expenditure (Rs Crore) (D),2006-07,12348.31
(D) Public Administration & Defence and other Services,GDP by industry of origin (at factor cost Rs. Crores),2006-07,505121.0
(D) Public Administration & Defence and other Services,Ratio of R&D expenditure to GDP by industry of origin (%),2006-07,2.44
Total ,R&D Expenditure(Rs in Crore) (A+B+C+D),2006-07,20844.19
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",2007-08,4555.12
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2007-08,357.15
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",2007-08,162.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",2007-08,12.86
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2007-08,12.56
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2007-08,39.93
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2007-08,5139.62
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2007-08,961330.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2007-08,0.53
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2007-08,103.91
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2007-08,97.34
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2007-08,25.67
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2007-08,9.79
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2007-08,24.92
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2007-08,65.23
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2007-08,817.74
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2007-08,14.27
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",12. Manufacture of other Non-Metallic Mineral Products,2007-08,36.9
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",13. Manufacture of Basic Metals,2007-08,61.15
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",14. Manufacture of Fabricated Metal Products,2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","15. Manufacture of Medical, Precision and Optical Instruments",2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",16. Manufacture of Electrical Machinery and Apparatus,2007-08,0.52
